Sentence,Sentiment,Sentence_clear
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",neutral,company generate net sale 600 mln euro 7755 mln annually employ 6000
RSA Insurance Hires Towergate's Egan as Chief Financial Officer,neutral,rsa insurance hire towergate egan chief financial officer
"Via the move , the company aims annual savings of some EUR 3 million USD 4.3 m , the main part of which are expected to be realized this year .",positive,via move company aim annual saving eur 3 million usd 43 main part expect realize year
"However , the bottom-line result improved thanks to positive financial items .",positive,however bottomline result improve thank positive financial item
$NFLX +3% of the lows,positive,nflx 3 low
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,negative,nyse owner ice may gatecrash deutsche boerselse merger
"Ahlstrom , headquartered in Helsinki , Finland , is a global leader in the development , manufacture and marketing of high performance fibre-based materials .",neutral,ahlstrom headquartered helsinki finland global leader development manufacture marketing high performance fibrebase material
$DMND green and moving,positive,dmnd green moving
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",neutral,q2 2009 profit taxis amount eur 136 mn eur 268 mn q2 2008
The value of this kind of order amounts usually between Euro 2 and 3 million .,neutral,value kind order amount usually euro 2 3 million
"The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .",neutral,cosmetic collection include eye shadow face powder lip gloss mascara accessory
The increase range will vary up to 10 % .,neutral,increase range vary 10
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,positive,lsedeutsche boerse merger would signal end exchange megadeal
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,negative,operate profit continue operation fall eur 483 mn eur 724 mn first half 2007
The company then said it will focus its resources on clinical research .,neutral,company say focus resource clinical research
Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,neutral,glaston net profit third quarter 2007 drop 24 mln euro 35 mln 35 mln euro 51 mln corresponding period 2006
"The Tekla Structures 16 installation has been built according to Microsoft 's requirements for the Windows 7 certification , the Company added .",neutral,tekla structure 16 installation build accord microsoft requirement window 7 certification company add
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,positive,astrazeneca acquire zs pharma 27 billion deal
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,neutral,london marketwatch share price end low london monday rebound bank stock fail offset broad weakness ftse 100
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,negative,kone share drop 41 percent x20ac 43 we 5577 helsinki
"In 2007 , Huhtamaki will continue to invest in organic growth .",neutral,2007 huhtamaki continue invest organic growth
"The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country .",neutral,daily graphic newspaper october report initiative embark upon fidelity bank partner ghana post office across country offer financial service unbanke underbanked country
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland .",neutral,glaston glass processing unit tamglass glass processing manufacturer high quality safety glass product operate finland
"Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 .",neutral,share 14747084 hold company number outstanding share voting right attach share amount thus 161256847
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",negative,uk stock little change near record barclay shell fall
$AMRN Got sell signal 7/1/14 still in force with target below 1.50,negative,amrn get sell signal 7114 still force target 150
"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today .",neutral,mr mikko saavalainen head comptel global sale conclude gibtelecom provide perfect illustration variety business technical regulatory challenge operator face oss today
"ALEXANDRIA , Va. , Oct. 6 -- United States Patent no. 7,804,288 , issued on Sept. 28 , was assigned to Vacon Oyj ( Vaasa , Finland ) .",neutral,alexandria va oct 6 united states patent 7804288 issue sept 28 assign vacon oyj vaasa finland
Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+ñnsi-Kalkkuna to produce turkey meat .,positive,finnish food industry company hk ruokatalo atria form joint venture company call lñnsikalkkuna produce turkey meat
"Its annual capacity is some 10,000 MW .",neutral,annual capacity 10000 mw
"S&P has kept its `` sell '' rating , while Nordea and UBS have reaffirmed their `` buy '' recommendations .",neutral,sp keep sell rating nordea ubs reaffirm buy recommendation
Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,positive,operate profit exclude restructuring cost grow eur 445 million eur 317 million operating profit include restructuring cost show even large growth eur 385 million eur 74 million
"Revenue from July to September grew 21 percent to EURO 2.3 billion , the Finnish company said Thursday .",positive,revenue july september grow 21 percent euro 23 billion finnish company say thursday
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,operating profit rise eur 131 mn eur 87 mn correspond period 2007 represent 77 net sale
$KCG bot at 2.24,positive,kcg bot 224
"In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",negative,finland bank àland report operating profit fall eur 61 mn second quarter 2008 eur 75 mn second quarter 2007
"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .",neutral,separate announcement helsinki stock exchange atria reveal company third quarter profit decline eur13 9 third quarter last year eur12 7 year q3
The Finnish group anticipates a sales gain of EUR42m after tax and expenses .,positive,finnish group anticipate sale gain eur42 m tax expense
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",negative,operating loss pulp paper machinery unit eur 3mn september 2007 august 2008 compare profit eur 37 mn year early
"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",negative,baltic country sale fall 402 russia 232 term euro 107 term local currency
CompaniesKingfisher bid for Mr Bricolage runs into trouble,negative,companieskingfisher bid mr bricolage run trouble
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",neutral,fair value change investment property eur 158 mn compare eur 229 mn third quarter 2009
The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,positive,company plan expand international market subsidiary distributor 2011 onwards
The investment would be some EUR5m .,neutral,investment would eur5 m
"According to Finnish insurance companies Tapiola , Local Insurance Group ( L+ñhivakuutus ) , and Pohjola the two fierce storms at the end of July and in the beginning of August 2010 that felled trees around Finland have speeded up sales of forest insurance .",positive,accord finnish insurance company tapiola local insurance group lñhivakuutus pohjola two fierce storm end july begin august 2010 fell tree around finland speed sale forest insurance
$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,negative,gld httpstksco44ow close inspection resistance 10 point north 200d downward trendline chart 2 2
In Sweden the agreement covers data communication services as well .,neutral,sweden agreement cover data communication service well
$KEP breaking out when the market pulls back  http://stks.co/r0cet,positive,kep break market pull back httpstkscor0cet
"The latest date for registration is on 4 April , 2006 .",neutral,late date registration 4 april 2006
Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,neutral,mr skogster currently serve manager responsible abb oy system module low voltage drive
"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 .",neutral,pretax profit total eur 90 mn eur 363 mn 2007
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,positive,rationalization operation seek achieve eur 1 million yearly saving second quarter current financial year
Metso 's delivery will include a complete coated board line with related air systems and two winders .,neutral,metso delivery include complete coat board line relate air system two winder
The reductions will be concluded by autumn 2010 .,neutral,reduction conclude autumn 2010
The company also said that its board of directors has proposed a profit distribution of EUR0 .92 per share .,neutral,company also say board director propose profit distribution eur0 92 per share
$MPWR CEO sells 450k april 15th..meh,negative,mpwr ceo sell 450k april 15thmeh
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .",neutral,please inform ir johanna koskinen participation later 20 april 10 telephone conference financial analyst investor conduct english begin 300 pm finnish time eet
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,positive,bank forecast finland gdp grow 2 2010 2011
"$HLF shorts made a killing last couple days, might make more if cover and buy back?",negative,hlf short make kill last couple day might make cover buy back
"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",negative,adpnews aug 3 2009 finnish medium group ilkkayhtyma oyj hel ilk2s say today net profit fall 45 year eur 59 million usd 84 first half 2009
Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service .,neutral,chief financial officer jim heindlmeyer say beyond oblivion advanced talk four major recording company service
"In addition , the production at the Varpaisj+â rvi factory will be stopped at the beginning of April 2009 .",negative,addition production varpaisjâ rvi factory stop begin april 2009
E 's building system service had revenue of EUR 355 mln in 2007 .,neutral,e building system service revenue eur 355 mln 2007
Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,positive,increase net sale due acquisition swedish silva produce garden tool boat
"Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday .",neutral,budapest august 10 mti finnish electronic maker elcoteq lie 700 worker plant pec hungary end september fall order communication director elcoteq local unit zoltan krippl tell mti monday
"The product range includes marinated olives , cold cuts , and pates , for example .",neutral,product range include marinate olives cold cut pat example
Aldata noted that its Voice Supply Chain Technology approach enables VDW to integrate with warehouse management systems .,neutral,aldata note voice supply chain technology approach enable vdw integrate warehouse management system
NASDAQ-listed Yahoo Inc has introduced a new service that enables Malaysians to take their favorite Internet content and services with them on their mobile phones .,positive,nasdaqliste yahoo inc introduce new service enable malaysians take favorite internet content service mobile phone
"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",neutral,share 29659239 hold company group company number outstanding share voting right attach share thus amount 322705218
"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena .",neutral,srv also build aqua park wellness area restaurant multifunctional ice arena
"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",positive,p bull flag daily earning table tomorrow 12 movewill straddle one earningslot vol guarantee
Sainsbury sales slip again as price pressures take a toll,negative,sainsbury sale slip price pressure take toll
"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",neutral,since association datum cover sale figure 100 small local brewery sale import beer product actual market share member small give report
The deal is in line with Etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services .,neutral,deal line etteplan strategy operate partner global customer provide industrial technology design service
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,accord hkscan finland plan increase jñrvisuoman portti net sales eur 80mn eur 100mn
Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner,positive,watch bancostheyre hold relatively well compare broad market xlf bac gs c large c buy bac backburner
"The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail .",neutral,divest company part tietoenator business area government manufacture retail
Rosen was cautious about being too optimistic inregard to the second half of the year .,neutral,rosen cautious optimistic inregard second half year
"The seminar introduced modern , clean technologies and products , financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in Vietnam .",positive,seminar introduce modern clean technology product financial tool sponsorship program energy environment project well potential develop clean energy vietnam
"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period .",positive,report period net sale rise 8 yearonyear eur64 3 due business acquisition realize first half 200809 effect eur10 9 review period
"Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don .",neutral,apartment yit home may purchase 5 region russia yit subsidiary carry activity moscow moscow region st petersburg ekaterinburg kazan rostovondon
$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE,positive,bone earning stock poise pop httpstksco2zwe
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,positive,finnish kci konecrane raise net sale growth estimate 2006 25 35
Spain's Caixabank launches new takeover bid for Banco BPI,positive,spains caixabank launch new takeover bid banco bpi
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,stock exchange announcement 20 july 2006 1 1 basware share subscription warrant increase share capital total 119 850 share subscribe basware warrant program
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports net sales of EUR 49.6 mn in the first quarter of 2009 , which are only a per cent smaller than in the corresponding period in 2008 .",negative,finnish scanfil systems supplier contract manufacturer communication sector electronic industry report net sale eur 496 mn first quarter 2009 per cent small corresponding period 2008
Entertainment One dispels ITV takeover rumours,positive,entertainment one dispel itv takeover rumour
The dividends payable annually shall be deducted from the share subscription price .,neutral,dividend payable annually shall deduct share subscription price
New product launches in Finland will more than double from 2005 .,positive,new product launch finland double 2005
This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry .,positive,assignment strengthen poyry position international provider engineering project service chemical process industry
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",neutral,customer come follow country uk usa spain france italy germany china sweden norway netherlands austria belgium switzerland czech republic serbia finland canada russia ukraine portugal denmark ireland south korea estonia liechtenstein
"Alpina Sports is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .",neutral,alpina sports lebanon new hampshire usa based distributor eg alpina ski shoe skis exel ski pole start ski wax also peltonen crosscountry ski
Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure .,positive,cargotec germany gmbh award contract stadtverwaltung mainz chassis body open procedure
Reported operating margin was a negative 5.9 % .,negative,report operate margin negative 59
The purchase price was not disclosed .,neutral,purchase price disclose
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,neutral,okmetic expect net sale first half 2009 less 2008
Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,positive,finnish pharmaceutical company orion net sale rise eur 190mn first quarter 2009 eur 180mn first quarter 2008
The company is well positioned in Brazil and Uruguay .,positive,company well position brazil uruguay
"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",positive,upside move volatile mining sector send anglo american plc aal 68 430 pm london time
Sales were down 14 per cent in Finland and up 27 per cent abroad where sales were lifted by the strong growth in sales in Russia and Lithuania .,neutral,sale 14 per cent finland 27 per cent abroad sale lift strong growth sale russia lithuania
$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,negative,fb 75 bearish pattern consider bullish sentiment that s impressive bearish move httpstcotajf0ch2qh
That would be an increase from estimated sales of 117 million last year .,positive,would increase estimate sale 117 million last year
"According to Sepp+ñnen , the new technology UMTS900 solution network building costs are by one-third lower than that of the building of 3.5 G networks , operating at 2,100 MHz frequency .",positive,accord seppñnen new technology umts900 solution network building cost onethird lower build 35 g network operate 2100 mhz frequency
To be number one means creating added value for stakeholders in everything we do .,neutral,number one mean create add value stakeholder everything
Number of offers received for this contract is two .,neutral,number offer receive contract two
Donations to universities The Annual General Meeting authorized the Board of Directors to donate max .,neutral,donation university annual general meeting authorize board director donate max
"It expects revenue between $ 8.4 billion and $ 8.7 billion , compared to analyst estimates of $ 8.67 billion .",neutral,expect revenue 84 billion 87 billion compare analyst estimate 867 billion
LSE gets Hong Kong regulatory nod to HK firms to become LSE members,positive,lse get hong kong regulatory nod hk firm become lse member
The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,neutral,diameter protocol develop accord standard ietf rfc 3588 ietf rfc 3539
Underground parking facilities will also be built on the basement floor .,neutral,underground parking facility also build basement floor
$DISH weakness continues again. 49.43 area resistance after last week,negative,dish weakness continue 4943 area resistance last week
#FusionIQ NEW Positive Timing Signal on $SBUX Today https://t.co/9ImlXz4YNa Please Retweet #Signals,positive,fusioniq new positive timing signal sbux today httpstco9imlxz4yna please retweet signal
The representative body of Swedish Meats approved an improved offer from Finnish HK Ruokatalo to acquire the company .,positive,representative body swedish meat approve improve offer finnish hk ruokatalo acquire company
M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 .,positive,mreal sale expect increase 4 yearonyear eur609 m second quarter 2010
"Weber convinced his friend Ray Ostrom , who owned a Lake Street sporting goods store , to sell the lures .",neutral,weber convince friend ray ostrom own lake street sporting good store sell lur
"$AAPL is now beaten down, hated, etc. / hhhmm opposite of 700> what happens next?",negative,aapl beat hat etc hhhmm opposite 700 happen next
The most significant challengers in the market are Logset and Sampo-Rosenlew .,neutral,significant challenger market logset samporosenlew
The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,positive,district court helsinki dismiss charge court first instance 2005
Teleste BK Optiflex amplifier products will be used in ongoing capacity upgrade of KDG 's network to bi-directionality .,neutral,teleste bk optiflex amplifier product use ongoing capacity upgrade kdg network bidirectionality
"The business units of the InvestLesProm Group cover the full forest industry chain , and the Group owns forests , sawmills , paper and pulp mills , and other processing plants .",neutral,business unit investlesprom group cover full forest industry chain group own forest sawmill paper pulp mill process plant
"Previously , the company expected its 2008 financial performance to remain at the same level as in 2008 .",neutral,previously company expect 2008 financial performance remain level 2008
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,neutral,insurers admiral blow hot cold aviva soar prefriend life merger
Retail giant Kingfisher reports 'solid' start to the year,positive,retail giant kingfisher report solid start year
"Maximum amount of terminations in Finland is 40 employees , the company added .",neutral,maximum amount termination finland 40 employee company add
$TSLA yeah lets go down to 230s lol,negative,tsla yeah let go 230s lol
"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 .",positive,company schedule traffic measure revenue passenger kilometre rpk grow 2 nearly 3 passenger carry schedule flight february 2009
Validating our fgVoIP client through Symbian Signed represents a significant step forward in accomplishing this goal .,positive,validate fgvoip client symbian sign represent significant step forward accomplish goal
$EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe,negative,ebay ebay bay working couple daily doji continue downside httpstcolgu0ybxeze
Royal Mail gets mixed bag from Ofcom postal regulation report,neutral,royal mail get mixed bag ofcom postal regulation report
"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .",positive,ragutis base lithuania secondlarg city kaunas boost sale last year 223 per cent 364 million liter
The trade is in accordance with the agreement announced on 26 March 2008 .,neutral,trade accordance agreement announce 26 march 2008
"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",neutral,initial estimate total value contract 250 000 euro exclude vat
Shell and BG Shareholders to Vote on Deal at End of January,neutral,shell bg shareholders vote deal end january
"After completion of the acquisition , Poyry 's oil and gas expertise will cover multi-discipline engineering and consulting services across the complete oil and gas asset lifecycle , including deepwater engineering services .",neutral,completion acquisition poyry oil gas expertise cover multidiscipline engineering consulting service across complete oil gas asset lifecycle include deepwater engineering service
: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .,positive,lietuvos respublikos sveikato apsaugos ministerija award contract uab affecto lietuva financial system software package
The order was worth EUR 8mn .,neutral,order worth eur 8mn
$IBM staying strong,positive,ibm stay strong
$CRUS Upgraded to a buy by Alpha Street Research,positive,crus upgrade buy alpha street research
#Apple up almost 20% from its February lows with very little fanfare. $AAPL,positive,apple almost 20 february low little fanfare aapl
"Rio Tinto swings to loss, drops dividend policy",negative,rio tinto swing loss drop dividend policy
Cision says the sale will return its U.K. operation to profitability .,positive,cision say sale return uk operation profitability
"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/j35FNnx744 $AAPL #APPLE $AXP $BAC",negative,isolationism another sell rating sell rating spy qqq iwm several company httpstcoj35fnnx744 aapl apple axp bac
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",negative,due rapid decrease net sale personnel reduction carry wide scale initially expect
"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",neutral,sale volume cocacola market share decrease 22 242
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,negative,lt net profit whole 2010 drop eur 36 million eur 45 million 2009
"The order consists of outsourced application management , support and planning for Tecnotree and third-party applications .",neutral,order consist outsource application management support plan tecnotree thirdparty application
Group net sales in the third quarter of 2007 totaled EUR 142.3 mn and operating profit EUR 4.3 mn .,neutral,group net sale third quarter 2007 total eur 1423 mn operating profit eur 43 mn
"Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .",neutral,vaisala headquarter helsinki finland develop manufacture electronic measurement system meteorology environmental science traffic industry
$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,positive,spy look like bear trap get lay fast cadbury creme egg easter bunny
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,neutral,finnline estimate annual general meeting 2008 financially tough year due large investment
"Furthermore , the company will sell the warehouse and office buildings in Loudeac and Saint Marcel and lease new joint premises for these operations in Morvillars .",neutral,furthermore company sell warehouse office building loudeac saint marcel lease new joint premise operation morvillar
Sales of mid-strength beer decreased by 40 % .,neutral,sale midstrength beer decrease 40
ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj .,neutral,abn 59 087 901 620 represent 510 voting right share capital citycon oyj
The company has 120 employees and annual sales of approximately EUR16m .,neutral,company 120 employee annual sale approximately eur16 m
"According to M-real 's CEO , Mikko Helander , this transaction will enable the company to proceed swiftly with its restructuring program .",positive,accord mreal ceo mikko helander transaction enable company proceed swiftly restructure program
$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,neutral,baba may take day wks month watch happen fb twtr ipo mrkt need washout hunt well need 2 wait stalk
"In 2008 , the deal is likely to bring savings of EUR 20mn-25mn .",positive,2008 deal likely bring saving eur 20mn25mn
"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same .",neutral,new delhi july 17 sahlberg teppo kallio timo mustonen tuoma real oyj espoo finland develop novel marking method produce
International operations accounted for over 80 % of net sales .,neutral,international operation account 80 net sale
"These financing arrangements will enable the company to ensure , in line with its treasury policy , that it has sufficient financial instruments at its disposal for its potential capital requirements .",positive,finance arrangement enable company ensure line treasury policy sufficient financial instrument disposal potential capital requirement
$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,positive,gild chart ibb back support httpstcogprz2ujfc4
As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,neutral,result negotiation employment 130 blue whitecollar employee oulu plant would terminate
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,negative,operating loss amount eur 07 mn compare profit eur 08 mn second quarter 2005
The order also includes extensive maintenance work of a shoe press delivered by Vaahto in 2001 .,neutral,order also include extensive maintenance work shoe press deliver vaahto 2001
"Thanks to the internet , consumers compare products more than previously and Finnish companies are not competitive .",neutral,thank internet consumer compare product previously finnish company competitive
"Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .",positive,operating profit total eur 58 mn loss eur 17 mn fourth quarter 2009
The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,negative,real estate company post net loss ó x201a ¼ 593 million ó x201a ¼ 021 per share compare net profit ó x201a ¼ 31 million ó x201a ¼ 011 per share correspond quarter 2007
Earnings per share ( EPS ) amounted to a loss of EUR0 .38 .,negative,earning per share eps amount loss eur0 38
"The biggest sellers in the chain 's supermarkets in Finland are organic Pirkka tomatoes , carrots , eggs , and meat products .",neutral,big seller chain supermarket finland organic pirkka tomato carrot egg meat product
$AAPL long 630.91,positive,aapl long 63091
The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .,positive,divestment raisio margarine business may 2009 give company clear focus grainbase product
The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .,neutral,total value project value sek 30bn eur 283 bn usd 381 bn
"@CGrantWSJ I think this $TSLA bubble might go on for some time. So long as ppl love the cars, they might keep getting funding.",positive,cgrantwsj think tsla bubble might go time long ppl love car might keep get funding
"When the product is manufactured in Finland , it is also packed in the country .",neutral,product manufacture finland also pack country
$LUV Continues to consolidate above previous break out area...,positive,luv continue consolidate previous break area
`` I 'm not sure what 's happening .,neutral,sure happen
"ADP News - Nov 18 , 2008 - Finnish AC drives manufacturer Vacon Oyj OMX : VAC1V said today that it had set up new representative offices in Romania and Ukraine to serve the growing markets in eastern and southeastern Europe .",positive,adp news nov 18 2008 finnish ac drive manufacturer vacon oyj omx vac1v say today set new representative office romania ukraine serve grow market eastern southeastern europe
Nokia has inaugurated its manufacturing plant near Chennai on 11 Mar 2006 .,neutral,nokia inaugurate manufacture plant near chennai 11 mar 2006
Scanfil issued a profit warning on 10 April 2006 .,neutral,scanfil issue profit warning 10 april 2006
"The contract includes design , construction , delivery of equipment , installation and commissioning .",neutral,contract include design construction delivery equipment installation commission
"The fixed-term contract of Mr. Jarmo Ukonaho , the current General Manager of Incap 's Indian operations , will finish by the end of the year .",neutral,fixedterm contract mr jarmo ukonaho current general manager incap indian operation finish end year
VNH generates annual net sales of about 5 mln eur and employs 21 people .,neutral,vnh generate annual net sale 5 mln eur employ 21 people
"Finland 's leading metals group Outokumpu said its fourth-quarter net profit more than tripled on the back of strong global demand for stainless steel , soaring base metal prices and proceeds from the sale of its technology unit .",positive,finland lead metal group outokumpu say fourthquarter net profit triple back strong global demand stainless steel soar base metal price proceed sale technology unit
$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,neutral,amzn trail 12 month operate cash flow rise 48 498 billion free cash flow decrease 63 388 million httpstkscoc06zg
It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .,neutral,post turnover 45 mln euro 61 mln operating profit 15 mln euro 20 mln 2006
The dismissed staff members will now take the matter to court unless it can be settled outside .,negative,dismiss staff member take matter court unless settle outside
LinkedIn Revenue Up Nearly 50% http://stks.co/g1F4T  $LNKD,positive,linkedin revenue nearly 50 httpstkscog1f4 t lnkd
Lemmink+ñinen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s .,neutral,lemminkñinen start manufacture roofing feel 1920 production asphalt 1930s
