sentence,sentiment,sentence_clear,sentence_pt
$KITD Looking for a oversold bounce.,positive,KITD Looking for a oversold bounce.,KITD Procurando por uma recuperação após uma sobrevenda.
"Pre-tax loss totaled EUR 0.3 mn , compared to a loss of EUR 2.2 mn in the first quarter of 2005 .",positive,"Pre-tax loss totaled EUR 0.3 mn , compared to a loss of EUR 2.2 mn in the first quarter of 2005 .","O prejuízo antes de impostos totalizou 0,3 milhões de euros, em comparação com um prejuízo de 2,2 milhões de euros no primeiro trimestre de 2005."
"Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .",positive,"Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .","As métricas no QPR ScoreCard agora suportam valores baseados em data, texto e marcos, o que melhora seu suporte para o gerenciamento de projetos em torno de conteúdo relacionado a desempenho ou processo."
Key level to watch in $FB for today is 25.53-- watching to see if it can hold as support http://stks.co/bOH4,neutral,Key level to watch in FB for today is 25.53-- watching to see if it can hold as support http://stks.co/bOH4,"O nível chave para observar no Facebook hoje é 25,53 — vamos ver se ele consegue se manter como suporte. http://stks.co/bOH4"
The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .,positive,The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .,"O lucro antes de impostos do negócio de seguros de vida do grupo aumentou para 36 milhões de euros, contra 27 milhões de euros."
Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .,positive,Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .,"As ações para melhorar a eficiência operacional e ajustar as operações deverão gerar uma economia permanente anualizada de cerca de 4,5 milhões de euros e serão implementadas principalmente durante o primeiro semestre de 2010."
The policy was also aimed at making the companies more profitable and competitive .,positive,The policy was also aimed at making the companies more profitable and competitive .,A política também visava tornar as empresas mais lucrativas e competitivas.
The use case dramatically narrows if you go only with the hot s Ltd.,neutral,The use case dramatically narrows if you go only with the hot s Ltd.,O leque de possibilidades de uso se restringe drasticamente se você optar apenas pela versão hot s Ltd.
The offer represents a premium of 24 % over the stock 's closing price on Friday .,positive,The offer represents a premium of 24 % over the stock 's closing price on Friday .,A oferta representa um prêmio de 24% sobre o preço de fechamento das ações na sexta-feira.
"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .",positive,"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .","O lucro por ação (EPS) é estimado em 0,56 euros, acima dos 0,38 euros anteriores."
The value of the orders is over EUR 25mn .,neutral,The value of the orders is over EUR 25mn .,O valor das encomendas ultrapassa os 25 milhões de euros.
"The company said that 80 % of the shares of the holding company will be sold to Meadville Holdings Limited , a Hong Kong listed parent company of the Meadville Group .",neutral,"The company said that 80 % of the shares of the holding company will be sold to Meadville Holdings Limited , a Hong Kong listed parent company of the Meadville Group .","A empresa afirmou que 80% das ações da holding serão vendidas para a Meadville Holdings Limited, empresa controladora do Meadville Group, listada na Bolsa de Valores de Hong Kong."
The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .,neutral,The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .,O ataque foi particularmente nefasto porque os tweets foram ativados sem que ninguém clicasse neles – bastava que os internautas movessem o cursor do mouse sobre eles.
"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",positive,"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .","""Nossa cooperação estratégica com a Rentakran nos traz novos clientes e nos permite estabelecer relações já existentes com as autoridades dos novos territórios"", disse Jarmo Laasanen, gerente sênior da Cramo."
The share of the share capital of both above mentioned shareholders remains below 5 % .,neutral,The share of the share capital of both above mentioned shareholders remains below 5 % .,A participação no capital social de ambos os acionistas mencionados acima permanece abaixo de 5%.
"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",negative,"QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY","Gráfico da QCOM: Retração de 61,8% da posição vendida da Qualcomm, linha de tendência e resistência. https://t.co/2WQqh35KOY"
Olli-Pekka Kallasvuo was elected as vice chairman of the Board .,neutral,Olli-Pekka Kallasvuo was elected as vice chairman of the Board .,Olli-Pekka Kallasvuo foi eleito vice-presidente do Conselho.
Efficiency programs totalling 100 million euros are under way in Finnair .,positive,Efficiency programs totalling 100 million euros are under way in Finnair .,"Na Finnair, estão em andamento programas de aumento da eficiência que totalizam 100 milhões de euros."
"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .",neutral,"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .","Na visão de Penttil, a razão mais importante para a transação é a Rússia."
"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",neutral,"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .","Entre janeiro e agosto de 2009, as importações marítimas em contêineres, caminhões e reboques caíram 27,7% e as exportações 28,6% em comparação com o mesmo período de 2008."
"The transaction covers a building lot of 46,763 sq m and factory buildings of 19,631 sq m. Since the autumn of 2007 , when Scanfil discontinued its production operations in Oulu , the facilities have been partly leased to other parties .",neutral,"The transaction covers a building lot of 46,763 sq m and factory buildings of 19,631 sq m. Since the autumn of 2007 , when Scanfil discontinued its production operations in Oulu , the facilities have been partly leased to other parties .","A transação abrange um terreno de 46.763 m² e instalações fabris de 19.631 m². Desde o outono de 2007, quando a Scanfil descontinuou suas operações de produção em Oulu, as instalações foram parcialmente arrendadas a terceiros."
$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,positive,SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,"SKX em alta. Vindo de longe, pode ir longe. O preço das ações implica que você não paga nada pelo negócio."
"For 2009 , Incap expects revenue of some EUR 70 million .",neutral,"For 2009 , Incap expects revenue of some EUR 70 million .","Para 2009, a Incap prevê um faturamento de cerca de 70 milhões de euros."
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,positive,Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,A Carnival Corporation e o China Merchants Group assinam memorando de entendimento...
"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",positive,"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .","O preço das ações subiu 70,0 rúpias ou 0,9%, fechando a SEK77,65, encerrando uma sequência de dois dias de perdas."
According to the announcement of the Helsinki Stock Exchange the share of Sentera shall be delisted from the NM-list of the Helsinki Stock Exchange accordingly .,neutral,According to the announcement of the Helsinki Stock Exchange the share of Sentera shall be delisted from the NM-list of the Helsinki Stock Exchange accordingly .,"De acordo com o anúncio da Bolsa de Valores de Helsinque, as ações da Sentera serão retiradas da lista NM da Bolsa de Valores de Helsinque."
"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",neutral,"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .","O banco finlandês Pohjola Bank Plc HEL: POH1S disse hoje que emitirá um título indexado de 40 milhões de euros e 51,2 milhões de dólares, Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010, em 27 de outubro de 2010."
Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397,neutral,Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397,"A Vacon controla mais 5% da empresa através do fundo de investimento Power Fund I. EUR 1,0 = USD 1,397"
The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .,neutral,The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .,"O objetivo das soluções escolhidas para a ponte é minimizar o tempo de construção, garantindo ao mesmo tempo que o tráfego sob a ponte no canal de Saimaa continue sem interrupções."
The technology park will be built near St. Petersburg-based Pulkovo airport .,neutral,The technology park will be built near St. Petersburg-based Pulkovo airport .,"O parque tecnológico será construído próximo ao aeroporto de Pulkovo, em São Petersburgo."
"$STX long play, another consistent profit zone.. check it out https://t.co/DQfuzOzYlh https://t.co/ggne4ayzqn",positive,"STX long play, another consistent profit zone.. check it out https://t.co/DQfuzOzYlh https://t.co/ggne4ayzqn","Aposta longa em STX, outra zona de lucro consistente... confira https://t.co/DQfuzOzYlh https://t.co/ggne4ayzqn"
The value of the orders is about EUR 25mn .,neutral,The value of the orders is about EUR 25mn .,O valor das encomendas é de cerca de 25 milhões de euros.
Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 .,neutral,Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 .,"A Talentum adquiriu uma participação de 47,5% na Varesvuo Partners em 1997 e o restante em 2002 e 2005."
"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market .",positive,"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market .","COMUNICADO DE IMPRENSA DA OUTOTEC OYJ, 4 DE DEZEMBRO DE 2009, 10h30 - A Outotec estabelece uma nova subsidiária em Calcutá. A Outotec estabeleceu uma subsidiária na Índia para melhor atender seus clientes indianos e expandir seus negócios no crescente mercado indiano."
Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .,positive,Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .,"A receita proveniente de comissões aumentou 25,7%, passando de 12,8 milhões de euros em 2004 para 16,1 milhões de euros."
Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .,positive,Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .,"A Nokia, maior fabricante de celulares do mundo, e a China Postel, maior distribuidora de celulares da China, mantêm uma parceria de longa data que se fortalece cada vez mais com o tempo."
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",neutral,"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .","Com base nos resultados do primeiro trimestre, na carteira de pedidos existente e nas perspectivas de novos pedidos, a empresa espera que as vendas do ano inteiro diminuam 25% em relação a 2008, a margem bruta permaneça em um nível saudável e a margem de lucro operacional seja menor do que em 2008 devido ao menor volume de vendas."
"Look out for vintage fabric cushion covers , '70s coffee pots , ceramic serving dishes , cocktail glasses , and stainless steel party dishes .",neutral,"Look out for vintage fabric cushion covers , '70s coffee pots , ceramic serving dishes , cocktail glasses , and stainless steel party dishes .","Procure por capas de almofada de tecido vintage, cafeteiras dos anos 70, travessas de cerâmica, copos de coquetel e pratos de aço inoxidável para festas."
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",negative,"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .","O tráfego de cargas caiu 1% em relação ao ano anterior, para 8.561 toneladas em setembro de 2009."
"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .",neutral,"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .","A CapMan possui quatro áreas de investimento (CapMan Buyout, CapMan Technology, CapMan Life Science e CapMan Real Estate), e cada uma delas conta com uma equipe dedicada."
Kershaw takes up the position with immediate effect from her previous role as marketing manager of Sankey Home & Garden Products .,neutral,Kershaw takes up the position with immediate effect from her previous role as marketing manager of Sankey Home & Garden Products .,"Kershaw assume o cargo com efeito imediato, vinda de sua função anterior como gerente de marketing da Sankey Home & Garden Products."
Deliveries by Outotec will take place over 30 months .,neutral,Deliveries by Outotec will take place over 30 months .,As entregas da Outotec serão realizadas ao longo de 30 meses.
Net profit was 35.5 mln compared with 29.8 mln .,positive,Net profit was 35.5 mln compared with 29.8 mln .,"O lucro líquido foi de 35,5 milhões, em comparação com 29,8 milhões."
The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .,neutral,The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .,"A subsidiária sueca detém royalties de 1,0% sobre o retorno líquido da fundição (""NSR"") em dois projetos avançados de cobre no norte da Suécia - os projetos Viscaria e Adak - que estão sendo desenvolvidos pela Avalon Minerals Ltd. ASX: AVI."
RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,neutral,RT @tomhend777 MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,"RT @tomhend777 MU precisa se manter aqui - Rompido por enquanto. Precisa de um flush grande. Ainda não está tecnicamente sobrevendido, então ainda não há grande recuperação."
The optimization of the steel components heating process will reduce the energy consumption .,positive,The optimization of the steel components heating process will reduce the energy consumption .,A otimização do processo de aquecimento dos componentes de aço reduzirá o consumo de energia.
"M-real Corporation Stock Exchange Announcement 29 September 2006 at 4.15 p.m. Kyro Corporation and M-real Corporation , a Metsaliitto Group subsidiary , have agreed on an arrangement which gives M-real option to purchase the Kyroskoski natural gas powerplant from Kyro .",neutral,"M-real Corporation Stock Exchange Announcement 29 September 2006 at 4.15 p.m. Kyro Corporation and M-real Corporation , a Metsaliitto Group subsidiary , have agreed on an arrangement which gives M-real option to purchase the Kyroskoski natural gas powerplant from Kyro .","Comunicado da M-real Corporation à Bolsa de Valores, 29 de setembro de 2006, às 16h15. A Kyro Corporation e a M-real Corporation, uma subsidiária do Grupo Metsaliitto, chegaram a um acordo que concede à M-real a opção de comprar a usina termelétrica a gás natural de Kyroskoski da Kyro."
i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,negative,i-Grid shows DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,"O i-Grid mostra que a DIA está limitada a longo prazo na faixa de 123,40 a 124,77; qualquer alta acima dos níveis atuais ou dentro dessa faixa levará a um colapso."
"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices .",neutral,"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices .","A Samsung Mobile Applications Store foi lançada em janeiro de 2009 pela Samsung Mobile Innovator, um programa que permite aos desenvolvedores de software móvel criar aplicativos para uso em dispositivos móveis da Samsung."
"Press release 9 October 2009 Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",positive,"Press release 9 October 2009 Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .","Comunicado de imprensa, 9 de outubro de 2009: A Ruukki assinou um contrato para fornecer e instalar as estruturas de aço de uma ponte sobre o estreito de Kyronsalmi em Savonlinna, Finlândia."
"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn .",neutral,"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn .","Após itens não recorrentes de 177 milhões de euros, o lucro foi de 20 milhões de euros."
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 .",negative,"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 .","O lucro do período totalizou 1,1 milhão de euros, uma queda em relação aos 1,6 milhão de euros do terceiro trimestre de 2008."
It also said its third quarter diluted EPS came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago .,positive,It also said its third quarter diluted EPS came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago .,"A empresa também informou que seu lucro por ação diluído no terceiro trimestre foi de 0,34 euros, em comparação com 0,16 euros no mesmo trimestre do ano anterior."
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .",neutral,"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .","No entanto, sua participação de mercado diminuiu para 47,59%, ante 48% no ano anterior."
"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .",negative,"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of  1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .","Os bancos nórdicos já tiveram que dar baixa em empréstimos consideráveis ​​na Letônia, com o Swedbank, Nordea, DnB NOR e SEB relatando perdas combinadas superiores a 1,35 bilhão no período de 2007 a 2010, em um contexto de quase colapso econômico na Letônia."
"Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people .",neutral,"Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people .",A unidade de negócios da Stora Enso na América do Norte tem uma capacidade anual de cerca de 3 milhões de toneladas e emprega cerca de 4.350 pessoas.
"That address also happens to house Italian megamart Eataly , meaning that `` Come on , kids , we 're going to the Toy Building ! ''",neutral,"That address also happens to house Italian megamart Eataly , meaning that `` Come on , kids , we 're going to the Toy Building ! ''","Esse endereço também abriga o megamercado italiano Eataly, o que significa que ""Vamos lá, crianças, vamos para o Prédio dos Brinquedos!"""
"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",positive,"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .","""O processador Intel Atom tem tido um enorme sucesso no mercado desde o seu lançamento, há mais de dois anos"", disse Pankaj Kedia, diretor de programas de ecossistema global do Grupo de Ultra Mobilidade da Intel Corp."
"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",negative,"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .","O resultado operacional, excluindo itens não recorrentes, totalizou 9,1 milhões de euros, em comparação com 10,6 milhões de euros nas operações continuadas, excluindo itens não recorrentes, em 2004."
Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,negative,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,"Aumento nas vendas para o novo chefe da Morrisons, David Potts, enquanto a recuperação da Tesco estagna."
"Also Finnish Industry Investment , a government-owned investment company , will participate in the project .",neutral,"Also Finnish Industry Investment , a government-owned investment company , will participate in the project .","A Finnish Industry Investment, uma empresa de investimentos estatal, também participará do projeto."
"The Committee proposes the following remuneration : a monthly remuneration of EUR 5,000 for the Chairman , EUR 3,500 for the Deputy Chairman , and EUR 2,500 for the other Board members .",neutral,"The Committee proposes the following remuneration : a monthly remuneration of EUR 5,000 for the Chairman , EUR 3,500 for the Deputy Chairman , and EUR 2,500 for the other Board members .","O Comitê propõe a seguinte remuneração: uma remuneração mensal de 5.000 euros para o Presidente, 3.500 euros para o Vice-Presidente e 2.500 euros para os demais membros do Conselho."
"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year .",negative,"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year .","Em 2009, a Comptel registrou um prejuízo líquido de 2,1 milhões de euros, em comparação com um lucro de 6,6 milhões de euros no ano anterior."
`` Those uncertainties cloud the long-term outlook . '',neutral,`` Those uncertainties cloud the long-term outlook . '',“Essas incertezas obscurecem as perspectivas de longo prazo.”
hu will offer a further discount of between 25 % and 50 % on selected books .,neutral,hu will offer a further discount of between 25 % and 50 % on selected books .,A hu oferecerá um desconto adicional entre 25% e 50% em livros selecionados.
A quick `` one-stop-shop '' to understand the company .,neutral,A quick `` one-stop-shop '' to understand the company .,Uma forma rápida e prática de entender a empresa.
$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,neutral,UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,A UBNT ainda está com alguns problemas na linha de resistência. Deve ser resolvido em breve. @cheri1 @strattonite http://stks.co/c0sU4
Johnson Matthey profit falls but dividend rises,neutral,Johnson Matthey profit falls but dividend rises,"O lucro da Johnson Matthey cai, mas os dividendos aumentam."
"$CNDO 21% short float, shorts likely to take profits into close",negative,"CNDO 21% short float, shorts likely to take profits into close",CNDO: 21% de ações vendidas a descoberto; investidores que apostam na queda das ações provavelmente realizarão lucros antes do fechamento do mercado.
Europe needs 17 new large paper machines .,neutral,Europe needs 17 new large paper machines .,A Europa precisa de 17 novas máquinas de papel de grande porte.
European traffic grew nearly 30 % .,positive,European traffic grew nearly 30 % .,O tráfego europeu cresceu quase 30%.
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",neutral,"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion  4 billion in total capital .","Fundada em 1989, a CapMan administra fundos nórdicos de aquisição, financiamento mezzanine, tecnologia, ciências da vida e imobiliário, com um capital total aproximado de 3 a 4 bilhões de euros."
The total value of the deal is USD 29mn .,neutral,The total value of the deal is USD 29mn .,O valor total do negócio é de 29 milhões de dólares americanos.
"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",positive,"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .","26 de janeiro de 2011 - A empresa finlandesa de produtos metálicos Componenta Oyj (HEL: CTH1V) informou ontem que seu prejuízo líquido diminuiu para 500.000 euros no último trimestre de 2010, em comparação com 5,3 milhões de euros no mesmo período do ano anterior."
"Byline : Tim Moran Cellular phone giant Nokia Corp. is offering $ 8.1 billion for digital map supplier NAVTEQ Corp. , of Chicago .",neutral,"Byline : Tim Moran Cellular phone giant Nokia Corp. is offering  8.1 billion for digital map supplier NAVTEQ Corp. , of Chicago .","Por Tim Moran: A gigante de telefonia celular Nokia Corp. está oferecendo 8,1 bilhões de dólares pela fornecedora de mapas digitais NAVTEQ Corp., de Chicago."
Why not give your bedroom a cool makeover for summer .,neutral,Why not give your bedroom a cool makeover for summer .,Que tal dar uma repaginada refrescante no seu quarto para o verão?
Turnover rose to EUR21m from EUR17m .,positive,Turnover rose to EUR21m from EUR17m .,O volume de negócios subiu de 17 milhões de euros para 21 milhões de euros.
Britain's FTSE gets lift from Prudential results,positive,Britain's FTSE gets lift from Prudential results,O índice FTSE do Reino Unido recebe impulso dos resultados da Prudential.
"The total investment necessary will be EUR40m , the company estimated .",neutral,"The total investment necessary will be EUR40m , the company estimated .",A empresa estimou que o investimento total necessário será de 40 milhões de euros.
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,neutral,Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro  17.2 mln for 2007 versus a net profit of 2.5 mln euro  3.7 mln for 2006 .,"A desenvolvedora finlandesa de software para varejo Aldata Solution Oyj registrou um prejuízo líquido de 11,7 milhões de euros (17,2 milhões de euros) em 2007, em comparação com um lucro líquido de 2,5 milhões de euros (3,7 milhões de euros) em 2006."
"FinancialWire tm is a fully independent , proprietary news wire service .",neutral,"FinancialWire tm is a fully independent , proprietary news wire service .",FinancialWire™ é um serviço de notícias totalmente independente e proprietário.
"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .",neutral,"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .","O lucro operacional totalizou 1,22 milhões de euros, uma queda em relação aos 3,56 milhões de euros do primeiro trimestre de 2008."
The proportion of Estonian and Lithuanian passengers on the Tallinn-Helsinki route also grew in July .,positive,The proportion of Estonian and Lithuanian passengers on the Tallinn-Helsinki route also grew in July .,A proporção de passageiros estonianos e lituanos na rota Tallinn-Helsinque também aumentou em julho.
"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .",neutral,"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .","O lucro operacional totalizou 3,8 milhões de euros, uma queda em relação aos 4,5 milhões de euros registrados no mesmo período de 2005."
The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .,neutral,The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .,"O exercício teve origem na Finlândia, no início da década de 1930, como um método de treinamento para esquiadores de fundo."
The writing and publication of Lemmink+ñinen -¦ s history is a continuation of earlier collaboration between Antti Tuuri and the company .,neutral,The writing and publication of Lemmink+ñinen -¦ s history is a continuation of earlier collaboration between Antti Tuuri and the company .,A redação e publicação da história de Lemmink+ñinen é uma continuação da colaboração anterior entre Antti Tuuri e a empresa.
"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .",positive,"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .","A companhia aérea nacional da Finlândia, Finnair PLC, transportou um número recorde de 8,5 milhões de passageiros em 2005, um aumento de 4,5% em relação ao ano anterior, informou a empresa nesta terça-feira."
Finnish glass technology group Glaston Corporation ( OMX Helsinki : GLA1V ) reported on Thursday ( 14 August ) an operating profit of EUR6 .5 m on net sales of EUR201 .5 m for the period January-September 2008 .,neutral,Finnish glass technology group Glaston Corporation ( OMX Helsinki : GLA1V ) reported on Thursday ( 14 August ) an operating profit of EUR6 .5 m on net sales of EUR201 .5 m for the period January-September 2008 .,"O grupo finlandês de tecnologia de vidro Glaston Corporation (OMX Helsinki: GLA1V) anunciou na quinta-feira (14 de agosto) um lucro operacional de 6,5 milhões de euros sobre vendas líquidas de 201,5 milhões de euros para o período de janeiro a setembro de 2008."
"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",neutral,"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .","A Raute reportou um prejuízo por ação de 0,86 euros no primeiro semestre de 2009, contra um lucro por ação de 0,74 euros no mesmo período de 2008."
